Onset,Offset
594.734,594.867
594.967,595.034
595.767,595.8
597.067,597.1
597.667,598.067
598.267,598.534
599.034,599.167
599.4,599.434
599.5,599.534
599.834,599.9
600.1,600.134
600.7,600.734
600.867,600.9
601.067,601.1
601.634,601.767
601.934,602.2
602.367,602.4
602.834,602.867
603.534,603.567
605.0,605.1
605.6,605.634
605.8,605.967
606.067,606.234
606.9,606.967
607.134,607.167
607.6,607.634
608.434,608.467
608.534,608.6
609.0,609.034
612.867,612.9
613.267,613.3
613.767,613.834
614.134,614.167
614.434,614.467
614.534,614.567
614.867,614.9
615.434,615.467
616.434,616.467
617.567,617.7
619.967,620.034
620.167,620.2
620.467,620.567
621.367,621.4
622.9,622.934
625.934,626.267
626.734,626.767
627.4,627.434
628.634,628.667
629.0,629.034
629.534,629.567
629.834,629.867
630.734,630.767
630.867,630.9
631.1,631.267
632.3,632.4
632.634,632.667
633.7,633.734
634.934,634.967
635.034,635.067
635.2,635.267
635.367,635.4
636.2,636.3
636.467,636.6
637.467,637.5
637.634,637.7
637.767,637.867
637.967,638.0
638.4,638.467
638.767,638.9
639.934,640.0
640.634,640.667
641.267,641.3
642.167,642.2
642.6,642.767
643.034,643.167
643.434,643.5
644.7,644.734
645.6,645.7
646.567,646.7
647.667,647.734
648.2,648.434
649.767,649.8
650.0,650.667
650.8,650.834
651.0,651.1
651.534,651.567
651.867,651.967
652.4,652.467
652.767,652.967
653.434,653.6
654.967,655.234
655.834,655.9
656.267,656.3
656.467,657.034
657.134,657.234
658.567,658.6
659.467,659.567
660.067,660.1
660.334,660.567
661.1,661.134
661.5,661.534
663.9,663.934
664.567,664.6
664.9,665.234
665.7,665.8
665.9,666.067
666.167,666.2
666.267,666.3
666.467,666.667
666.734,666.767
666.867,666.967
667.234,667.267
667.534,667.7
667.767,667.9
668.467,668.5
668.7,668.934
669.034,669.434
669.534,669.967
670.067,670.134
670.534,670.567
671.8,671.867
673.334,673.367
674.334,674.4
675.4,675.5
675.734,675.834
676.6,676.634
677.4,677.434
677.867,677.934
678.567,678.7
678.834,679.067
679.334,680.067
680.2,680.267
680.334,680.4
680.567,680.667
680.8,680.867
681.0,681.3
681.534,681.567
682.2,682.234
682.534,682.9
683.1,683.434
683.534,683.6
683.734,683.834
684.067,684.134
684.3,684.367
684.534,684.634
684.767,684.934
685.034,685.067
686.567,686.7
687.634,687.734
688.8,688.9
691.8,691.834
692.167,692.2
692.267,692.3
692.7,692.934
693.734,693.767
696.5,696.534
697.2,697.234
698.5,698.567
698.834,698.867
699.234,699.267
700.534,700.567
701.334,701.367
701.934,701.967
702.734,702.767
704.1,704.134
705.334,705.367
707.967,708.0
710.3,710.4
711.2,711.234
712.434,712.5
712.767,712.8
715.167,715.2
715.8,715.867
716.867,716.9
717.434,717.467
718.067,718.134
720.334,720.367
720.567,720.634
726.134,726.2
727.034,727.067
727.534,727.567
729.2,729.234
729.834,729.9
731.367,731.4
732.6,732.667
733.4,733.434
734.0,734.034
735.767,735.8
737.167,737.234
737.367,737.4
737.467,737.5
737.6,737.634
737.767,737.8
