Onset,Offset
525.167,525.234
526.267,526.3
527.234,527.267
527.334,527.367
528.6,528.634
529.234,529.3
530.634,530.967
531.067,531.4
531.634,531.7
532.3,532.367
532.5,533.234
533.367,533.5
534.2,534.334
534.434,534.7
534.767,534.934
538.734,538.9
540.2,540.234
540.434,540.5
540.734,540.767
541.7,541.767
542.267,542.467
542.634,542.7
543.467,543.8
545.734,545.767
547.567,547.7
547.767,547.8
550.667,550.734
550.967,551.167
551.8,551.834
552.067,552.467
553.034,553.134
553.434,553.534
553.634,553.7
553.834,553.867
554.167,555.467
556.534,556.8
557.1,557.234
558.9,558.934
559.2,559.234
559.367,559.434
560.7,560.734
562.067,562.134
562.834,562.9
563.567,563.6
563.7,563.8
564.034,564.067
564.167,564.267
564.6,564.8
566.0,566.067
567.167,567.2
569.5,569.534
569.9,569.934
570.5,570.6
571.067,571.234
571.334,571.567
571.934,571.967
572.1,572.2
572.367,572.434
574.9,574.934
575.6,575.9
577.734,577.767
578.167,578.5
578.734,578.867
581.534,581.634
581.8,581.867
582.434,582.467
582.767,582.9
583.134,583.334
583.934,584.0
584.134,584.3
584.4,584.634
584.7,584.767
587.3,587.334
587.934,587.967
588.067,588.6
588.834,588.934
589.5,589.567
592.167,592.234
593.2,593.267
595.1,595.167
595.767,595.834
596.0,596.234
596.5,596.534
596.8,597.034
597.167,597.367
601.2,601.234
605.4,605.467
605.967,606.034
606.434,606.634
607.434,607.534
608.367,608.4
608.734,608.767
608.9,608.934
609.7,609.734
611.634,611.667
612.467,612.534
614.1,614.167
617.067,617.1
617.8,617.834
617.967,618.0
619.234,619.467
626.067,626.1
626.334,626.4
626.867,626.9
633.167,633.2
636.634,636.667
636.8,636.834
636.9,636.934
638.5,638.534
640.1,640.167
641.0,641.034
641.734,641.767
642.134,642.334
642.4,642.434
643.0,643.034
643.267,643.3
644.534,644.634
650.1,650.134
651.467,651.5
652.234,652.334
652.834,653.034
655.267,655.4
656.067,656.367
656.567,656.6
656.867,656.934
657.0,657.1
657.2,657.267
657.367,657.834
658.0,658.067
658.334,658.867
659.4,659.434
659.534,659.567
659.767,660.067
660.134,660.167
660.534,660.567
661.8,661.834
662.0,662.034
665.734,665.767
667.0,667.034
672.634,672.867
673.434,673.534
676.0,676.1
679.1,679.134
679.6,679.634
680.6,680.667
682.067,682.134
682.8,682.834
685.134,685.167
687.0,687.034
687.134,687.167
687.567,687.634
706.634,706.667
707.734,707.767
711.734,711.767
711.934,711.967
712.834,712.867
714.567,722.667
723.034,744.134
746.867,746.967
747.467,747.567
747.8,747.834
749.567,749.634
750.267,750.3
750.467,750.5
750.667,750.834
750.934,751.234
751.534,751.667
753.267,753.3
754.967,755.0
755.734,755.767
756.867,756.9
757.234,757.334
761.434,761.567
762.3,762.367
762.867,762.934
769.134,769.467
769.7,769.8
770.1,770.167
770.634,770.734
770.9,771.7
772.0,772.167
772.267,772.734
774.067,774.167
774.267,774.334
776.134,776.5
776.634,776.734
777.334,777.434
779.167,779.367
780.267,780.5
780.7,781.1
783.367,783.4
785.034,785.1
786.3,786.5
786.7,788.067
788.367,788.4
788.734,789.434
792.0,792.034
792.867,793.134
793.234,793.367
794.467,794.5
795.2,795.267
795.467,795.5
795.8,795.834
795.9,795.967
796.5,796.634
797.834,797.867
798.2,798.3
798.4,798.467
798.934,799.267
799.767,800.167
800.267,800.334
801.2,801.267
801.734,802.034
802.467,802.767
802.867,802.9
803.267,803.667
803.734,803.767
804.734,804.8
806.234,806.267
816.667,816.7
823.067,823.2
823.367,823.734
825.567,825.6
827.5,827.534
827.7,827.734
838.4,838.567
840.234,840.334
840.734,840.767
850.734,851.9
865.867,866.834
866.9,867.067
867.8,867.9
871.9,871.934
872.034,872.267
873.234,873.3
874.934,874.967
875.534,875.767
875.867,876.334
876.4,876.467
