record started at: 07-05-18 04:47:25

file format version: 4
captureMode: Offline
eye resolution: 640x480 scene resolution: 1280x720
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
66 65 30.00 0:00:00:02.200/1000 0:00:00:02.167/1000 813.67 11.46 246.29 140.51 -1000.00 -1000.00 66.00 56.00 
67 67 29.99 0:00:00:02.234/1000 0:00:00:02.200/1000 772.20 -49.10 258.49 132.17 -1000.00 -1000.00 62.00 49.00 
68 68 30.00 0:00:00:02.267/1000 0:00:00:02.234/1000 742.34 -95.36 266.44 125.96 -1000.00 -1000.00 64.00 51.00 
69 68 30.00 0:00:00:02.300/1000 0:00:00:02.267/1000 745.60 -90.59 265.60 126.53 -1000.00 -1000.00 63.00 49.00 
70 70 29.99 0:00:00:02.334/1000 0:00:00:02.300/1000 748.77 -86.11 264.76 127.06 -1000.00 -1000.00 64.00 49.00 
71 71 30.00 0:00:00:02.367/1000 0:00:00:02.334/1000 752.80 -80.99 263.68 127.57 -1000.00 -1000.00 65.00 50.00 
72 71 30.00 0:00:00:02.400/1000 0:00:00:02.367/1000 757.44 -77.34 262.35 127.53 -1000.00 -1000.00 65.00 50.00 
73 73 29.99 0:00:00:02.434/1000 0:00:00:02.400/1000 764.59 -73.90 260.21 126.84 -1000.00 -1000.00 65.00 50.00 
74 74 30.00 0:00:00:02.467/1000 0:00:00:02.434/1000 1206.98 -155.05 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
75 74 30.00 0:00:00:02.500/1000 0:00:00:02.467/1000 1206.98 -155.05 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
76 76 29.99 0:00:00:02.534/1000 0:00:00:02.500/1000 717.37 59.27 276.40 169.59 -1000.00 -1000.00 29.00 25.00 
77 77 30.00 0:00:00:02.567/1000 0:00:00:02.534/1000 689.21 307.61 286.37 223.23 -1000.00 -1000.00 65.00 29.00 
78 77 30.00 0:00:00:02.600/1000 0:00:00:02.567/1000 739.78 393.70 276.78 237.88 -1000.00 -1000.00 65.00 35.00 
79 79 29.99 0:00:00:02.634/1000 0:00:00:02.600/1000 754.58 411.00 273.67 240.94 -1000.00 -1000.00 65.00 36.00 
80 80 30.00 0:00:00:02.667/1000 0:00:00:02.634/1000 759.87 399.11 272.20 238.58 -1000.00 -1000.00 66.00 36.00 
81 80 30.00 0:00:00:02.700/1000 0:00:00:02.667/1000 759.79 388.78 272.03 236.58 -1000.00 -1000.00 68.00 34.00 
82 82 29.99 0:00:00:02.734/1000 0:00:00:02.700/1000 757.61 379.91 272.39 234.89 -1000.00 -1000.00 67.00 33.00 
83 83 30.00 0:00:00:02.767/1000 0:00:00:02.734/1000 753.83 370.65 273.13 233.17 -1000.00 -1000.00 68.00 33.00 
84 83 30.00 0:00:00:02.800/1000 0:00:00:02.767/1000 748.07 360.16 274.31 231.28 -1000.00 -1000.00 68.00 31.00 
85 85 29.99 0:00:00:02.834/1000 0:00:00:02.800/1000 743.58 350.25 275.19 229.47 -1000.00 -1000.00 68.00 30.00 
86 86 30.00 0:00:00:02.867/1000 0:00:00:02.834/1000 741.75 342.27 275.48 227.97 -1000.00 -1000.00 67.00 30.00 
87 86 30.00 0:00:00:02.900/1000 0:00:00:02.867/1000 739.92 335.35 275.79 226.67 -1000.00 -1000.00 66.00 29.00 
88 88 29.99 0:00:00:02.934/1000 0:00:00:02.900/1000 738.26 327.77 276.04 225.25 -1000.00 -1000.00 68.00 29.00 
89 89 30.00 0:00:00:02.967/1000 0:00:00:02.934/1000 736.50 319.88 276.32 223.76 -1000.00 -1000.00 67.00 29.00 
90 89 30.00 0:00:00:03.00/1000 0:00:00:02.967/1000 726.04 328.74 278.84 225.88 -1000.00 -1000.00 67.00 26.00 
91 91 29.99 0:00:00:03.34/1000 0:00:00:03.00/1000 717.82 345.38 280.90 229.31 -1000.00 -1000.00 68.00 28.00 
92 92 30.00 0:00:00:03.67/1000 0:00:00:03.34/1000 718.70 347.21 280.73 229.63 -1000.00 -1000.00 67.00 28.00 
93 92 30.00 0:00:00:03.100/1000 0:00:00:03.67/1000 717.44 344.45 280.97 229.14 -1000.00 -1000.00 65.00 26.00 
