record started at: 08-16-18 11:07:00

file format version: 4
captureMode: Offline
eye resolution: 640x480 scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
109 109 29.99 0:00:00:03.634/1000 0:00:00:03.600/1000 416.83 71.53 371.75 263.65 -1000.00 -1000.00 53.00 61.00 
110 110 30.00 0:00:00:03.667/1000 0:00:00:03.634/1000 428.92 53.30 368.22 256.21 -1000.00 -1000.00 47.00 50.00 
111 110 30.00 0:00:00:03.700/1000 0:00:00:03.667/1000 440.58 36.03 364.70 248.99 -1000.00 -1000.00 44.00 51.00 
112 112 29.99 0:00:00:03.734/1000 0:00:00:03.700/1000 434.81 36.22 367.11 249.33 -1000.00 -1000.00 45.00 53.00 
113 113 30.00 0:00:00:03.767/1000 0:00:00:03.734/1000 430.47 35.75 368.96 249.34 -1000.00 -1000.00 46.00 53.00 
114 113 30.00 0:00:00:03.800/1000 0:00:00:03.767/1000 427.24 36.05 370.28 249.61 -1000.00 -1000.00 45.00 52.00 
115 115 29.99 0:00:00:03.834/1000 0:00:00:03.800/1000 424.59 36.46 371.35 249.89 -1000.00 -1000.00 44.00 52.00 
116 116 30.00 0:00:00:03.867/1000 0:00:00:03.834/1000 422.25 36.63 372.30 250.06 -1000.00 -1000.00 45.00 52.00 
117 116 30.00 0:00:00:03.900/1000 0:00:00:03.867/1000 420.34 36.63 373.10 250.15 -1000.00 -1000.00 44.00 54.00 
118 118 29.99 0:00:00:03.934/1000 0:00:00:03.900/1000 421.75 36.39 372.53 249.99 -1000.00 -1000.00 45.00 52.00 
119 119 30.00 0:00:00:03.967/1000 0:00:00:03.934/1000 433.19 35.38 367.85 249.08 -1000.00 -1000.00 47.00 50.00 
120 119 30.00 0:00:00:04.00/1000 0:00:00:03.967/1000 442.49 34.78 363.99 248.41 -1000.00 -1000.00 49.00 51.00 
121 121 30.00 0:00:00:04.34/1000 0:00:00:04.00/1000 442.68 34.99 363.90 248.48 -1000.00 -1000.00 50.00 51.00 
122 122 30.00 0:00:00:04.67/1000 0:00:00:04.34/1000 442.68 34.78 363.91 248.40 -1000.00 -1000.00 49.00 51.00 
123 122 30.00 0:00:00:04.100/1000 0:00:00:04.67/1000 443.20 34.96 363.68 248.45 -1000.00 -1000.00 54.00 54.00 
124 124 30.00 0:00:00:04.134/1000 0:00:00:04.100/1000 444.25 35.14 363.22 248.47 -1000.00 -1000.00 52.00 54.00 
125 125 30.00 0:00:00:04.167/1000 0:00:00:04.134/1000 445.75 35.01 362.60 248.35 -1000.00 -1000.00 50.00 53.00 
126 125 30.00 0:00:00:04.200/1000 0:00:00:04.167/1000 447.41 34.99 361.89 248.26 -1000.00 -1000.00 51.00 53.00 
127 127 30.00 0:00:00:04.234/1000 0:00:00:04.200/1000 449.36 34.88 361.07 248.13 -1000.00 -1000.00 51.00 54.00 
128 128 30.00 0:00:00:04.267/1000 0:00:00:04.234/1000 451.31 34.60 360.27 247.92 -1000.00 -1000.00 54.00 54.00 
129 128 30.00 0:00:00:04.300/1000 0:00:00:04.267/1000 452.78 34.41 359.65 247.78 -1000.00 -1000.00 52.00 54.00 
130 130 30.00 0:00:00:04.334/1000 0:00:00:04.300/1000 454.21 34.14 359.06 247.61 -1000.00 -1000.00 55.00 55.00 
131 131 30.00 0:00:00:04.367/1000 0:00:00:04.334/1000 455.39 33.86 358.58 247.44 -1000.00 -1000.00 53.00 54.00 
132 131 30.00 0:00:00:04.400/1000 0:00:00:04.367/1000 449.78 31.55 361.15 246.80 -1000.00 -1000.00 51.00 55.00 
133 133 30.00 0:00:00:04.434/1000 0:00:00:04.400/1000 432.12 22.37 369.34 244.03 -1000.00 -1000.00 55.00 61.00 
134 134 30.00 0:00:00:04.467/1000 0:00:00:04.434/1000 420.15 14.40 374.97 241.50 -1000.00 -1000.00 56.00 62.00 
135 134 30.00 0:00:00:04.500/1000 0:00:00:04.467/1000 419.96 13.34 375.13 241.09 -1000.00 -1000.00 56.00 60.00 
136 136 30.00 0:00:00:04.534/1000 0:00:00:04.500/1000 420.09 13.33 375.08 241.08 -1000.00 -1000.00 56.00 60.00 
137 137 30.00 0:00:00:04.567/1000 0:00:00:04.534/1000 423.95 13.77 373.44 241.06 -1000.00 -1000.00 56.00 60.00 
138 137 30.00 0:00:00:04.600/1000 0:00:00:04.567/1000 440.16 17.80 366.32 241.84 -1000.00 -1000.00 59.00 53.00 
139 139 30.00 0:00:00:04.634/1000 0:00:00:04.600/1000 452.85 21.20 360.65 242.55 -1000.00 -1000.00 59.00 53.00 
140 140 30.00 0:00:00:04.667/1000 0:00:00:04.634/1000 452.41 20.57 360.89 242.32 -1000.00 -1000.00 59.00 52.00 
141 140 30.00 0:00:00:04.700/1000 0:00:00:04.667/1000 451.45 19.53 361.38 241.95 -1000.00 -1000.00 58.00 53.00 
142 142 30.00 0:00:00:04.734/1000 0:00:00:04.700/1000 450.72 18.61 361.77 241.62 -1000.00 -1000.00 58.00 53.00 
143 143 30.00 0:00:00:04.767/1000 0:00:00:04.734/1000 449.96 18.22 362.12 241.51 -1000.00 -1000.00 58.00 53.00 
144 143 30.00 0:00:00:04.800/1000 0:00:00:04.767/1000 456.77 21.31 358.96 242.40 -1000.00 -1000.00 56.00 55.00 
145 145 30.00 0:00:00:04.834/1000 0:00:00:04.800/1000 461.69 24.15 356.62 243.28 -1000.00 -1000.00 55.00 54.00 
146 146 30.00 0:00:00:04.867/1000 0:00:00:04.834/1000 459.11 23.95 357.75 243.33 -1000.00 -1000.00 60.00 56.00 
147 146 30.00 0:00:00:04.900/1000 0:00:00:04.867/1000 458.19 24.10 358.14 243.43 -1000.00 -1000.00 60.00 55.00 
148 148 30.00 0:00:00:04.934/1000 0:00:00:04.900/1000 457.48 24.04 358.45 243.45 -1000.00 -1000.00 61.00 56.00 
149 149 30.00 0:00:00:04.967/1000 0:00:00:04.934/1000 456.60 24.25 358.81 243.57 -1000.00 -1000.00 61.00 54.00 
150 149 30.00 0:00:00:05.00/1000 0:00:00:04.967/1000 455.70 24.26 359.19 243.62 -1000.00 -1000.00 56.00 51.00 
151 151 30.00 0:00:00:05.34/1000 0:00:00:05.00/1000 455.53 24.22 359.27 243.61 -1000.00 -1000.00 61.00 54.00 
152 152 30.00 0:00:00:05.67/1000 0:00:00:05.34/1000 455.54 24.60 359.23 243.76 -1000.00 -1000.00 61.00 55.00 
153 152 30.00 0:00:00:05.100/1000 0:00:00:05.67/1000 455.09 25.01 359.40 243.95 -1000.00 -1000.00 59.00 56.00 
154 154 30.00 0:00:00:05.134/1000 0:00:00:05.100/1000 454.84 25.52 359.46 244.16 -1000.00 -1000.00 61.00 56.00 
155 155 30.00 0:00:00:05.167/1000 0:00:00:05.134/1000 453.74 26.75 359.84 244.71 -1000.00 -1000.00 58.00 55.00 
156 155 30.00 0:00:00:05.200/1000 0:00:00:05.167/1000 429.89 44.45 368.51 252.75 -1000.00 -1000.00 51.00 69.00 
157 157 30.00 0:00:00:05.234/1000 0:00:00:05.200/1000 407.30 61.00 376.48 260.04 -1000.00 -1000.00 48.00 68.00 
158 158 30.00 0:00:00:05.267/1000 0:00:00:05.234/1000 408.16 60.67 376.15 259.88 -1000.00 -1000.00 48.00 69.00 
159 158 30.00 0:00:00:05.300/1000 0:00:00:05.267/1000 408.24 61.12 376.08 260.04 -1000.00 -1000.00 50.00 69.00 
160 160 30.00 0:00:00:05.334/1000 0:00:00:05.300/1000 408.42 60.98 376.02 259.98 -1000.00 -1000.00 48.00 69.00 
161 161 30.00 0:00:00:05.367/1000 0:00:00:05.334/1000 408.36 60.82 376.06 259.92 -1000.00 -1000.00 47.00 69.00 
162 161 30.00 0:00:00:05.400/1000 0:00:00:05.367/1000 408.40 60.85 376.04 259.94 -1000.00 -1000.00 48.00 69.00 
163 163 30.00 0:00:00:05.434/1000 0:00:00:05.400/1000 408.43 61.00 376.02 259.99 -1000.00 -1000.00 47.00 68.00 
